title,company_name,location,category,job_type,salary,experience,salary_min,salary_max,url,description,tags,published_at
Sales Executive,MinhLong Solutions,Da Nang,Sales,Part-time,35-40 trieu VND,5+ nam,35000000,40000000,https://jobs.local/topcv/sales-executive-162,Tuyen dung Sales Executive tai MinhLong Solutions o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-03-19T08:28:05+07:00
Operations Staff,MinhLong Group,Ho Chi Minh City,Operations,Remote,28-35 trieu VND,5+ nam,28000000,35000000,https://jobs.local/topcv/operations-staff-163,Tuyen dung Operations Staff tai MinhLong Group o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-04-13T21:28:05+07:00
Operations Staff,PrimeX Solutions,Bac Ninh,Operations,Hybrid,12-17 trieu VND,2-4 nam,12000000,17000000,https://jobs.local/topcv/operations-staff-164,Tuyen dung Operations Staff tai PrimeX Solutions o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-04-10T05:28:05+07:00
Auditor,GreenTech Group,Hai Phong,Finance,Remote,24-26 trieu VND,3-5 nam,24000000,26000000,https://jobs.local/topcv/auditor-165,Tuyen dung Auditor tai GreenTech Group o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-04-27T18:28:05+07:00
Customer Service Specialist,VietFuture Group,Dong Nai,Operations,Hybrid,28-33 trieu VND,5+ nam,28000000,33000000,https://jobs.local/topcv/customer-service-specialist-166,Tuyen dung Customer Service Specialist tai VietFuture Group o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-04-18T17:28:05+07:00
Sales Executive,VietFuture Vietnam,Can Tho,Sales,Full-time,19-22 trieu VND,2-4 nam,19000000,22000000,https://jobs.local/topcv/sales-executive-167,Tuyen dung Sales Executive tai VietFuture Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-04-28T00:28:05+07:00
Construction Supervisor,NovaLink Vietnam,Can Tho,Construction,Full-time,9-13 trieu VND,0-1 nam,9000000,13000000,https://jobs.local/topcv/construction-supervisor-168,Tuyen dung Construction Supervisor tai NovaLink Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-20T18:28:05+07:00
Procurement Specialist,Sunrise Solutions,Hanoi,Supply Chain,Hybrid,37-43 trieu VND,5+ nam,37000000,43000000,https://jobs.local/topcv/procurement-specialist-169,Tuyen dung Procurement Specialist tai Sunrise Solutions o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"procurement,sourcing,vendor",2026-03-28T23:28:05+07:00
PR Executive,PrimeX Group,Binh Duong,Marketing,Hybrid,20-24 trieu VND,2-4 nam,20000000,24000000,https://jobs.local/topcv/pr-executive-170,Tuyen dung PR Executive tai PrimeX Group o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-01T19:28:05+07:00
PR Executive,PrimeX Solutions,Da Nang,Marketing,Shift,13-18 trieu VND,1-3 nam,13000000,18000000,https://jobs.local/topcv/pr-executive-171,Tuyen dung PR Executive tai PrimeX Solutions o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-03-23T00:28:05+07:00
Civil Engineer,MinhLong Group,Hanoi,Construction,Remote,25-28 trieu VND,2-4 nam,25000000,28000000,https://jobs.local/topcv/civil-engineer-172,Tuyen dung Civil Engineer tai MinhLong Group o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-04-11T21:28:05+07:00
Logistics Coordinator,VietFuture Group,Binh Duong,Supply Chain,Shift,14-16 trieu VND,2-4 nam,14000000,16000000,https://jobs.local/topcv/logistics-coordinator-173,Tuyen dung Logistics Coordinator tai VietFuture Group o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-12T08:28:05+07:00
Real Estate Consultant,MinhLong Vietnam,Binh Duong,Real Estate,Remote,9-11 trieu VND,0-1 nam,9000000,11000000,https://jobs.local/topcv/real-estate-consultant-174,Tuyen dung Real Estate Consultant tai MinhLong Vietnam o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-04-28T13:28:05+07:00
Real Estate Consultant,GreenTech Vietnam,Hanoi,Real Estate,Shift,13-16 trieu VND,1-3 nam,13000000,16000000,https://jobs.local/topcv/real-estate-consultant-175,Tuyen dung Real Estate Consultant tai GreenTech Vietnam o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-03-19T15:28:05+07:00
Business Development Manager,PrimeX Solutions,Can Tho,Sales,Full-time,8-13 trieu VND,0-1 nam,8000000,13000000,https://jobs.local/topcv/business-development-manager-176,Tuyen dung Business Development Manager tai PrimeX Solutions o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-03-14T12:28:05+07:00
Administrative Officer,PrimeX Solutions,Can Tho,Administration,Full-time,18-25 trieu VND,5+ nam,18000000,25000000,https://jobs.local/topcv/administrative-officer-177,Tuyen dung Administrative Officer tai PrimeX Solutions o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-03-30T03:28:05+07:00
Business Development Manager,VietFuture Vietnam,Da Nang,Sales,Remote,30-32 trieu VND,3-5 nam,30000000,32000000,https://jobs.local/topcv/business-development-manager-178,Tuyen dung Business Development Manager tai VietFuture Vietnam o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-04-16T05:28:05+07:00
Construction Supervisor,Sunrise Group,Hanoi,Construction,Shift,10-13 trieu VND,0-1 nam,10000000,13000000,https://jobs.local/topcv/construction-supervisor-179,Tuyen dung Construction Supervisor tai Sunrise Group o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-03-21T04:28:05+07:00
Construction Supervisor,GreenTech Solutions,Dong Nai,Construction,Full-time,22-28 trieu VND,3-5 nam,22000000,28000000,https://jobs.local/topcv/construction-supervisor-180,Tuyen dung Construction Supervisor tai GreenTech Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-10T19:28:05+07:00
Operations Staff,GlobalNext Group,Binh Duong,Operations,Part-time,13-18 trieu VND,1-3 nam,13000000,18000000,https://jobs.local/topcv/operations-staff-181,Tuyen dung Operations Staff tai GlobalNext Group o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-04-28T01:28:05+07:00
Accountant,GreenTech JSC,Hanoi,Finance,Shift,27-33 trieu VND,3-5 nam,27000000,33000000,https://jobs.local/topcv/accountant-182,Tuyen dung Accountant tai GreenTech JSC o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-04-03T06:28:05+07:00
Auditor,GlobalNext JSC,Da Nang,Finance,Part-time,10-12 trieu VND,0-1 nam,10000000,12000000,https://jobs.local/topcv/auditor-183,Tuyen dung Auditor tai GlobalNext JSC o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-04-28T03:28:05+07:00
Operations Staff,Skyline Group,Dong Nai,Operations,Shift,17-22 trieu VND,3-5 nam,17000000,22000000,https://jobs.local/topcv/operations-staff-184,Tuyen dung Operations Staff tai Skyline Group o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-04-11T16:28:05+07:00
Warehouse Operator,Skyline Solutions,Da Nang,Labor,Shift,13-19 trieu VND,3-5 nam,13000000,19000000,https://jobs.local/topcv/warehouse-operator-185,Tuyen dung Warehouse Operator tai Skyline Solutions o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-03-16T19:28:05+07:00
Administrative Officer,AnPhat Group,Bac Ninh,Administration,Hybrid,9-12 trieu VND,1-3 nam,9000000,12000000,https://jobs.local/topcv/administrative-officer-186,Tuyen dung Administrative Officer tai AnPhat Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-03-20T11:28:05+07:00
Civil Engineer,GreenTech Solutions,Dong Nai,Construction,Hybrid,9-14 trieu VND,0-1 nam,9000000,14000000,https://jobs.local/topcv/civil-engineer-187,Tuyen dung Civil Engineer tai GreenTech Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-03-15T13:28:05+07:00
Warehouse Operator,NovaLink JSC,Bac Ninh,Labor,Hybrid,18-20 trieu VND,5+ nam,18000000,20000000,https://jobs.local/topcv/warehouse-operator-188,Tuyen dung Warehouse Operator tai NovaLink JSC o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-04-25T15:28:05+07:00
Logistics Coordinator,VietFuture Solutions,Binh Duong,Supply Chain,Shift,34-36 trieu VND,5+ nam,34000000,36000000,https://jobs.local/topcv/logistics-coordinator-189,Tuyen dung Logistics Coordinator tai VietFuture Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-03-27T06:28:05+07:00
Real Estate Consultant,GlobalNext Group,Bac Ninh,Real Estate,Part-time,14-16 trieu VND,2-4 nam,14000000,16000000,https://jobs.local/topcv/real-estate-consultant-190,Tuyen dung Real Estate Consultant tai GlobalNext Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-04-12T20:28:05+07:00
Logistics Coordinator,BlueOcean Vietnam,Binh Duong,Supply Chain,Full-time,20-23 trieu VND,3-5 nam,20000000,23000000,https://jobs.local/topcv/logistics-coordinator-191,Tuyen dung Logistics Coordinator tai BlueOcean Vietnam o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-19T17:28:05+07:00
Construction Supervisor,BlueOcean Vietnam,Ho Chi Minh City,Construction,Part-time,16-20 trieu VND,1-3 nam,16000000,20000000,https://jobs.local/topcv/construction-supervisor-192,Tuyen dung Construction Supervisor tai BlueOcean Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-10T17:28:05+07:00
Auditor,MinhLong Group,Binh Duong,Finance,Shift,24-31 trieu VND,3-5 nam,24000000,31000000,https://jobs.local/topcv/auditor-193,Tuyen dung Auditor tai MinhLong Group o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-03-24T04:28:05+07:00
Business Development Manager,GreenTech JSC,Hai Phong,Sales,Hybrid,10-15 trieu VND,1-3 nam,10000000,15000000,https://jobs.local/topcv/business-development-manager-194,Tuyen dung Business Development Manager tai GreenTech JSC o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-03-29T17:28:05+07:00
Customer Service Specialist,MinhLong Solutions,Bac Ninh,Operations,Shift,8-10 trieu VND,0-1 nam,8000000,10000000,https://jobs.local/topcv/customer-service-specialist-195,Tuyen dung Customer Service Specialist tai MinhLong Solutions o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-03-14T08:28:05+07:00
Customer Service Specialist,BlueOcean JSC,Dong Nai,Operations,Hybrid,8-10 trieu VND,0-1 nam,8000000,10000000,https://jobs.local/topcv/customer-service-specialist-196,Tuyen dung Customer Service Specialist tai BlueOcean JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-04-15T16:28:05+07:00
Administrative Officer,VietFuture Group,Can Tho,Administration,Hybrid,20-26 trieu VND,5+ nam,20000000,26000000,https://jobs.local/topcv/administrative-officer-197,Tuyen dung Administrative Officer tai VietFuture Group o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-04-02T23:28:05+07:00
Logistics Coordinator,NovaLink Vietnam,Hanoi,Supply Chain,Full-time,15-21 trieu VND,2-4 nam,15000000,21000000,https://jobs.local/topcv/logistics-coordinator-198,Tuyen dung Logistics Coordinator tai NovaLink Vietnam o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-05T07:28:05+07:00
Construction Supervisor,MinhLong Vietnam,Da Nang,Construction,Part-time,9-14 trieu VND,0-1 nam,9000000,14000000,https://jobs.local/topcv/construction-supervisor-199,Tuyen dung Construction Supervisor tai MinhLong Vietnam o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-03-19T17:28:05+07:00
Sales Executive,MinhLong Solutions,Binh Duong,Sales,Hybrid,10-14 trieu VND,0-1 nam,10000000,14000000,https://jobs.local/topcv/sales-executive-200,Tuyen dung Sales Executive tai MinhLong Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-03-23T21:28:05+07:00
Business Development Manager,NovaLink Vietnam,Can Tho,Sales,Remote,20-22 trieu VND,2-4 nam,20000000,22000000,https://jobs.local/topcv/business-development-manager-201,Tuyen dung Business Development Manager tai NovaLink Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-04-23T13:28:05+07:00
Administrative Officer,Skyline Group,Hai Phong,Administration,Remote,13-15 trieu VND,3-5 nam,13000000,15000000,https://jobs.local/topcv/administrative-officer-202,Tuyen dung Administrative Officer tai Skyline Group o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-04-04T13:28:05+07:00
HR Executive,AnPhat Group,Hanoi,Human Resources,Full-time,17-22 trieu VND,2-4 nam,17000000,22000000,https://jobs.local/topcv/hr-executive-203,Tuyen dung HR Executive tai AnPhat Group o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-06T04:28:05+07:00
Civil Engineer,MinhLong Solutions,Hai Phong,Construction,Shift,27-32 trieu VND,3-5 nam,27000000,32000000,https://jobs.local/topcv/civil-engineer-204,Tuyen dung Civil Engineer tai MinhLong Solutions o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-03-23T06:28:05+07:00
Marketing Specialist,PrimeX Vietnam,Bac Ninh,Marketing,Part-time,17-20 trieu VND,2-4 nam,17000000,20000000,https://jobs.local/topcv/marketing-specialist-205,Tuyen dung Marketing Specialist tai PrimeX Vietnam o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-04-24T00:28:05+07:00
Construction Supervisor,Sunrise JSC,Dong Nai,Construction,Shift,12-17 trieu VND,1-3 nam,12000000,17000000,https://jobs.local/topcv/construction-supervisor-206,Tuyen dung Construction Supervisor tai Sunrise JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-10T11:28:05+07:00
Marketing Specialist,AnPhat Group,Dong Nai,Marketing,Remote,14-18 trieu VND,2-4 nam,14000000,18000000,https://jobs.local/topcv/marketing-specialist-207,Tuyen dung Marketing Specialist tai AnPhat Group o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-03-26T12:28:05+07:00
Business Development Manager,Sunrise Vietnam,Hanoi,Sales,Shift,11-13 trieu VND,0-1 nam,11000000,13000000,https://jobs.local/topcv/business-development-manager-208,Tuyen dung Business Development Manager tai Sunrise Vietnam o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-04-02T22:28:05+07:00
Auditor,Sunrise JSC,Binh Duong,Finance,Shift,20-22 trieu VND,2-4 nam,20000000,22000000,https://jobs.local/topcv/auditor-209,Tuyen dung Auditor tai Sunrise JSC o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-04-21T02:28:05+07:00
Administrative Officer,PrimeX Solutions,Da Nang,Administration,Shift,14-16 trieu VND,3-5 nam,14000000,16000000,https://jobs.local/topcv/administrative-officer-210,Tuyen dung Administrative Officer tai PrimeX Solutions o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-04-08T07:28:05+07:00
Customer Service Specialist,GreenTech JSC,Can Tho,Operations,Full-time,13-16 trieu VND,2-4 nam,13000000,16000000,https://jobs.local/topcv/customer-service-specialist-211,Tuyen dung Customer Service Specialist tai GreenTech JSC o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-03-21T17:28:05+07:00
Operations Staff,VietFuture Group,Ho Chi Minh City,Operations,Shift,10-12 trieu VND,0-1 nam,10000000,12000000,https://jobs.local/topcv/operations-staff-212,Tuyen dung Operations Staff tai VietFuture Group o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-03-18T10:28:05+07:00
Warehouse Operator,BlueOcean Vietnam,Dong Nai,Labor,Hybrid,12-16 trieu VND,2-4 nam,12000000,16000000,https://jobs.local/topcv/warehouse-operator-213,Tuyen dung Warehouse Operator tai BlueOcean Vietnam o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-04-09T23:28:05+07:00
HR Executive,VietFuture Group,Ho Chi Minh City,Human Resources,Shift,11-19 trieu VND,1-3 nam,11000000,19000000,https://jobs.local/topcv/hr-executive-214,Tuyen dung HR Executive tai VietFuture Group o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-27T19:28:05+07:00
HR Executive,AnPhat Vietnam,Hai Phong,Human Resources,Shift,19-21 trieu VND,3-5 nam,19000000,21000000,https://jobs.local/topcv/hr-executive-215,Tuyen dung HR Executive tai AnPhat Vietnam o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-19T10:28:05+07:00
Sales Executive,MinhLong Vietnam,Hanoi,Sales,Part-time,13-22 trieu VND,1-3 nam,13000000,22000000,https://jobs.local/topcv/sales-executive-216,Tuyen dung Sales Executive tai MinhLong Vietnam o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-04-27T11:28:05+07:00
Accountant,VietFuture Solutions,Hai Phong,Finance,Shift,19-24 trieu VND,2-4 nam,19000000,24000000,https://jobs.local/topcv/accountant-217,Tuyen dung Accountant tai VietFuture Solutions o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-04-28T22:28:05+07:00
Operations Staff,VietFuture Vietnam,Dong Nai,Operations,Part-time,31-35 trieu VND,5+ nam,31000000,35000000,https://jobs.local/topcv/operations-staff-218,Tuyen dung Operations Staff tai VietFuture Vietnam o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-04-03T10:28:05+07:00
Logistics Coordinator,GlobalNext Solutions,Hai Phong,Supply Chain,Remote,8-13 trieu VND,0-1 nam,8000000,13000000,https://jobs.local/topcv/logistics-coordinator-219,Tuyen dung Logistics Coordinator tai GlobalNext Solutions o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-03-24T23:28:05+07:00
Operations Staff,BlueOcean Vietnam,Dong Nai,Operations,Full-time,8-12 trieu VND,0-1 nam,8000000,12000000,https://jobs.local/topcv/operations-staff-220,Tuyen dung Operations Staff tai BlueOcean Vietnam o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-03-15T12:28:05+07:00
Administrative Officer,MinhLong Group,Can Tho,Administration,Part-time,9-12 trieu VND,1-3 nam,9000000,12000000,https://jobs.local/topcv/administrative-officer-221,Tuyen dung Administrative Officer tai MinhLong Group o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-03-27T18:28:05+07:00
Construction Supervisor,PrimeX Solutions,Dong Nai,Construction,Part-time,13-18 trieu VND,1-3 nam,13000000,18000000,https://jobs.local/topcv/construction-supervisor-222,Tuyen dung Construction Supervisor tai PrimeX Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-03-29T20:28:05+07:00
Legal Counsel,GreenTech Group,Can Tho,Legal,Part-time,11-14 trieu VND,0-1 nam,11000000,14000000,https://jobs.local/topcv/legal-counsel-223,Tuyen dung Legal Counsel tai GreenTech Group o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-04-16T20:28:05+07:00
Logistics Coordinator,Skyline Group,Hanoi,Supply Chain,Full-time,28-31 trieu VND,3-5 nam,28000000,31000000,https://jobs.local/topcv/logistics-coordinator-224,Tuyen dung Logistics Coordinator tai Skyline Group o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-03-25T00:28:05+07:00
Civil Engineer,GreenTech JSC,Can Tho,Construction,Shift,20-23 trieu VND,2-4 nam,20000000,23000000,https://jobs.local/topcv/civil-engineer-225,Tuyen dung Civil Engineer tai GreenTech JSC o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-04-24T15:28:05+07:00
PR Executive,AnPhat Solutions,Hai Phong,Marketing,Part-time,8-11 trieu VND,0-1 nam,8000000,11000000,https://jobs.local/topcv/pr-executive-226,Tuyen dung PR Executive tai AnPhat Solutions o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-07T00:28:05+07:00
Auditor,MinhLong Vietnam,Da Nang,Finance,Part-time,33-36 trieu VND,5+ nam,33000000,36000000,https://jobs.local/topcv/auditor-227,Tuyen dung Auditor tai MinhLong Vietnam o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-04-21T22:28:05+07:00
PR Executive,NovaLink Group,Ho Chi Minh City,Marketing,Remote,29-33 trieu VND,5+ nam,29000000,33000000,https://jobs.local/topcv/pr-executive-228,Tuyen dung PR Executive tai NovaLink Group o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-05T20:28:05+07:00
Customer Service Specialist,BlueOcean Solutions,Dong Nai,Operations,Hybrid,8-12 trieu VND,0-1 nam,8000000,12000000,https://jobs.local/topcv/customer-service-specialist-229,Tuyen dung Customer Service Specialist tai BlueOcean Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-04-20T22:28:05+07:00
Customer Service Specialist,BlueOcean Solutions,Bac Ninh,Operations,Full-time,8-11 trieu VND,0-1 nam,8000000,11000000,https://jobs.local/topcv/customer-service-specialist-230,Tuyen dung Customer Service Specialist tai BlueOcean Solutions o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-03-27T20:28:05+07:00
Auditor,GreenTech Vietnam,Binh Duong,Finance,Shift,27-30 trieu VND,3-5 nam,27000000,30000000,https://jobs.local/topcv/auditor-231,Tuyen dung Auditor tai GreenTech Vietnam o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-04-14T21:28:05+07:00
Operations Staff,MinhLong Group,Bac Ninh,Operations,Part-time,21-23 trieu VND,3-5 nam,21000000,23000000,https://jobs.local/topcv/operations-staff-232,Tuyen dung Operations Staff tai MinhLong Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-04-28T03:28:05+07:00
Marketing Specialist,GreenTech Vietnam,Hanoi,Marketing,Full-time,20-25 trieu VND,2-4 nam,20000000,25000000,https://jobs.local/topcv/marketing-specialist-233,Tuyen dung Marketing Specialist tai GreenTech Vietnam o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-04-25T13:28:05+07:00
HR Executive,PrimeX Solutions,Ho Chi Minh City,Human Resources,Full-time,29-37 trieu VND,5+ nam,29000000,37000000,https://jobs.local/topcv/hr-executive-234,Tuyen dung HR Executive tai PrimeX Solutions o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-08T14:28:05+07:00
Auditor,Sunrise Vietnam,Da Nang,Finance,Shift,29-32 trieu VND,3-5 nam,29000000,32000000,https://jobs.local/topcv/auditor-235,Tuyen dung Auditor tai Sunrise Vietnam o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-03-15T14:28:05+07:00
Legal Counsel,BlueOcean Vietnam,Can Tho,Legal,Part-time,9-15 trieu VND,0-1 nam,9000000,15000000,https://jobs.local/topcv/legal-counsel-236,Tuyen dung Legal Counsel tai BlueOcean Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-04-20T09:28:05+07:00
Real Estate Consultant,BlueOcean Group,Hai Phong,Real Estate,Part-time,8-12 trieu VND,0-1 nam,8000000,12000000,https://jobs.local/topcv/real-estate-consultant-237,Tuyen dung Real Estate Consultant tai BlueOcean Group o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-04-28T01:28:05+07:00
Auditor,Sunrise JSC,Hai Phong,Finance,Remote,20-25 trieu VND,2-4 nam,20000000,25000000,https://jobs.local/topcv/auditor-238,Tuyen dung Auditor tai Sunrise JSC o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-04-25T14:28:05+07:00
Procurement Specialist,MinhLong Solutions,Binh Duong,Supply Chain,Full-time,8-10 trieu VND,0-1 nam,8000000,10000000,https://jobs.local/topcv/procurement-specialist-239,Tuyen dung Procurement Specialist tai MinhLong Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"procurement,sourcing,vendor",2026-03-23T02:28:05+07:00
Customer Service Specialist,Sunrise Group,Binh Duong,Operations,Remote,14-18 trieu VND,1-3 nam,14000000,18000000,https://jobs.local/topcv/customer-service-specialist-240,Tuyen dung Customer Service Specialist tai Sunrise Group o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-04-06T16:28:05+07:00
HR Executive,BlueOcean Group,Bac Ninh,Human Resources,Full-time,25-28 trieu VND,5+ nam,25000000,28000000,https://jobs.local/topcv/hr-executive-241,Tuyen dung HR Executive tai BlueOcean Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-05T11:28:05+07:00
HR Executive,VietFuture Vietnam,Bac Ninh,Human Resources,Hybrid,17-20 trieu VND,3-5 nam,17000000,20000000,https://jobs.local/topcv/hr-executive-242,Tuyen dung HR Executive tai VietFuture Vietnam o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-20T10:28:05+07:00
